,Des_1,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,isThroughball,goalLoc
1452,B6,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s17
1453,B6,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 8
1454,B3,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s10
1468,B3,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,0,OT 6
1470,B3,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s17
1472,B5,2.23606797749979,63.43494882292201,1,1,1,0,1,0,1,0,s16
1477,B1,6.4031242374328485,51.34019174590991,1,0,0,0,0,0,0,0,OT 3
1482,B1,3.0,90.0,1,1,0,0,1,0,0,0,s16
1485,B3,1.0,90.0,1,1,1,0,1,0,0,0,s22
1486,B3,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s20
1489,B1,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 8
1493,B3,2.23606797749979,63.43494882292201,1,1,1,0,1,0,0,0,s22
1499,B3,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,0,OT 4
1501,B1,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s16
1502,B1,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s11
1503,B6,6.082762530298219,80.53767779197439,1,0,0,0,0,0,0,0,OT 4
1505,B3,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s15
1509,B5,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,0,OT 4
1512,B3,3.0,90.0,1,0,0,0,0,0,0,0,s18
1517,B2,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s15
